datadate,CLI,Breakeven_10Y,GROW,INFL,BP_GROW,BP_INFL,BP_RATES
8/3/1998,99.83,1.6694,0,0,,,
8/4/1998,99.83,1.6302,0,0,,,
8/5/1998,99.83,1.665,0,0,,,
8/6/1998,99.83,1.659,0,0,,,
8/7/1998,99.83,1.5975,0,0,,,
8/10/1998,99.83,1.5996,0,0,,,
8/11/1998,99.83,1.5868,0,0,,,
8/12/1998,99.83,1.5807,0,0,,,
8/13/1998,99.83,1.6324,0,0,,,
8/14/1998,99.83,1.5806,0,0,,,
8/17/1998,99.83,1.5705,0,0,,,
8/18/1998,99.83,1.591,0,0,,,
8/19/1998,99.83,1.5687,0,0,,,
8/20/1998,99.83,1.5478,0,0,,,
8/21/1998,99.83,1.4834,0,0,,,
8/24/1998,99.83,1.4773,0,0,,,
8/25/1998,99.83,1.4241,0,0,,,
8/26/1998,99.83,1.3955,0,0,,,
8/27/1998,99.83,1.2703,0,0,,,
8/28/1998,99.83,1.2599,0,0,,,
8/31/1998,99.83,1.1758,0,0,,,
9/1/1998,99.73,1.2636,0,0,,,
9/2/1998,99.73,1.2412,0,0,,,
9/3/1998,99.73,1.2131,0,0,,,
9/4/1998,99.73,1.2206,0,0,,,
9/7/1998,99.73,1.2106,0,0,,,
9/8/1998,99.73,1.2766,0,0,,,
9/9/1998,99.73,1.1569,0,0,,,
9/10/1998,99.73,1.1328,0,0,,,
9/11/1998,99.73,1.1734,0,0,,,
9/14/1998,99.73,1.2008,0,0,,,
9/15/1998,99.73,1.2343,0,0,,,
9/16/1998,99.73,1.2064,0,0,,,
9/17/1998,99.73,1.1077,0,0,,,
9/18/1998,99.73,1.0309,0,0,,,
9/21/1998,99.73,1.0293,0,0,,,
9/22/1998,99.73,1.0442,0,0,,,
9/23/1998,99.73,1.043,0,0,,,
9/24/1998,99.73,1.0059,0,0,,,
9/25/1998,99.73,0.9755,0,0,,,
9/28/1998,99.73,0.9245,0,0,,,
9/29/1998,99.73,0.9729,0,0,,,
9/30/1998,99.73,0.8509,0,0,,,
10/1/1998,99.73,0.7611,0,0,,,
10/2/1998,99.73,0.7592,0,0,,,
10/5/1998,99.73,0.6726,0,0,,,
10/6/1998,99.73,0.6524,0,0,,1,
10/7/1998,99.73,0.7602,0,1,,,
10/8/1998,99.73,0.9032,0,1,,,
10/9/1998,99.73,1.0788,0,1,,,
10/12/1998,99.73,1.0506,0,1,,,
10/13/1998,99.73,1.0014,0,1,,,
10/14/1998,99.73,0.8878,0,1,,,
10/15/1998,99.73,0.7019,0,1,,,
10/16/1998,99.73,0.8314,0,1,,,
